grade_change_event_id,grade,max_deviation_pct,went_off_spec,n_operator_actions,time_to_stabilize_sec
1,Grade-B-Std,22.748,True,2,195
2,Grade-C-Heavy,23.073,True,0,255
3,Grade-B-Std,31.095,True,1,285
4,Grade-C-Heavy,21.604,True,1,180
5,Grade-A-Light,75.007,True,10,2685
6,Grade-C-Heavy,40.002,True,4,360
7,Grade-B-Std,29.143,True,3,225
8,Grade-D-Premium,8.115,True,1,135
9,Grade-C-Heavy,33.653,True,8,2025
10,Grade-B-Std,29.419,True,1,285
11,Grade-D-Premium,8.217,True,1,135
12,Grade-C-Heavy,28.849,True,2,300
13,Grade-A-Light,71.143,True,3,405
14,Grade-C-Heavy,38.913,True,0,300
15,Grade-B-Std,28.858,True,1,195
16,Grade-A-Light,39.814,True,7,2415
17,Grade-D-Premium,15.53,True,0,105
18,Grade-A-Light,19.345,True,5,2685
19,Grade-B-Std,21.941,True,4,195
20,Grade-A-Light,29.913,True,4,315
21,Grade-D-Premium,15.337,True,2,120
22,Grade-C-Heavy,26.721,True,2,195
23,Grade-D-Premium,42.417,True,2,360
24,Grade-A-Light,19.325,True,0,195
25,Grade-C-Heavy,38.153,True,3,255
26,Grade-A-Light,78.382,True,6,2685
27,Grade-B-Std,22.751,True,1,225
28,Grade-D-Premium,10.178,True,5,2430
29,Grade-A-Light,24.168,True,2,2640
30,Grade-C-Heavy,38.585,True,2,270
31,Grade-D-Premium,39.122,True,0,240
32,Grade-A-Light,18.052,True,0,135
33,Grade-B-Std,29.648,True,6,2265
34,Grade-A-Light,28.039,True,1,195
35,Grade-D-Premium,15.242,True,0,135
36,Grade-B-Std,10.105,True,7,1245
37,Grade-C-Heavy,24.876,True,7,2520
38,Grade-A-Light,66.881,True,1,270
39,Grade-C-Heavy,42.615,True,5,930
40,Grade-B-Std,30.776,True,1,315
41,Grade-A-Light,27.555,True,2,165
42,Grade-B-Std,21.242,True,2,180
43,Grade-D-Premium,8.755,True,0,120
44,Grade-A-Light,20.312,True,9,2640
45,Grade-C-Heavy,40.018,True,1,390
46,Grade-B-Std,30.862,True,2,285
47,Grade-C-Heavy,22.716,True,1,195
48,Grade-B-Std,34.608,True,4,1530
49,Grade-D-Premium,9.056,True,1,165
50,Grade-B-Std,9.097,True,6,2625
51,Grade-C-Heavy,24.622,True,4,2670
52,Grade-B-Std,36.304,True,10,2685
53,Grade-A-Light,30.636,True,3,285
54,Grade-D-Premium,15.474,True,1,150
55,Grade-C-Heavy,28.842,True,2,270
56,Grade-B-Std,29.01,True,0,210
57,Grade-A-Light,30.88,True,1,300
58,Grade-C-Heavy,39.647,True,2,285
59,Grade-B-Std,33.533,True,4,720
60,Grade-D-Premium,9.485,True,4,1875
61,Grade-A-Light,19.609,True,1,150
62,Grade-D-Premium,15.465,True,1,150
63,Grade-B-Std,7.792,True,0,120
64,Grade-C-Heavy,21.568,True,0,180
65,Grade-B-Std,30.739,True,3,315
66,Grade-D-Premium,7.761,True,1,150
67,Grade-A-Light,18.661,True,0,180
68,Grade-B-Std,22.173,True,14,2100
69,Grade-D-Premium,8.251,True,9,2685
70,Grade-B-Std,8.968,True,1,165
71,Grade-D-Premium,9.955,True,4,2535
72,Grade-B-Std,8.169,True,1,120
73,Grade-C-Heavy,21.061,True,0,150
74,Grade-A-Light,83.125,True,5,2280
75,Grade-B-Std,23.18,True,8,2565
76,Grade-D-Premium,7.993,True,4,2400
77,Grade-C-Heavy,30.392,True,11,2640
78,Grade-D-Premium,38.289,True,3,225
79,Grade-C-Heavy,27.251,True,0,195
80,Grade-D-Premium,41.837,True,1,330
81,Grade-A-Light,19.425,True,1,195
82,Grade-D-Premium,16.306,True,2,150
83,Grade-C-Heavy,26.675,True,1,195
84,Grade-B-Std,31.459,True,5,2685
85,Grade-C-Heavy,25.519,True,1,765
86,Grade-D-Premium,45.333,True,4,2160
87,Grade-B-Std,7.949,True,0,150
88,Grade-C-Heavy,21.408,True,1,165
89,Grade-A-Light,76.053,True,3,2070
90,Grade-D-Premium,15.599,True,3,180
91,Grade-C-Heavy,30.588,True,3,2055
92,Grade-A-Light,69.715,True,2,330
93,Grade-C-Heavy,39.458,True,2,285
94,Grade-B-Std,29.805,True,5,255
95,Grade-C-Heavy,25.702,True,3,2070
96,Grade-B-Std,29.24,True,1,210
97,Grade-D-Premium,8.999,True,1,225
98,Grade-A-Light,20.532,True,7,2460
99,Grade-D-Premium,15.216,True,3,2625
100,Grade-C-Heavy,28.713,True,1,255
101,Grade-A-Light,71.136,True,1,375
102,Grade-D-Premium,15.745,True,3,165
103,Grade-A-Light,24.115,True,12,2685
104,Grade-D-Premium,15.035,True,1,105
105,Grade-B-Std,7.35,True,0,120
106,Grade-A-Light,30.363,True,1,240
107,Grade-B-Std,21.567,True,0,165
108,Grade-D-Premium,10.498,True,2,2175
109,Grade-C-Heavy,30.452,True,2,675
110,Grade-D-Premium,39.929,True,3,285
111,Grade-B-Std,7.897,True,0,150
112,Grade-A-Light,35.604,True,6,2670
113,Grade-D-Premium,20.14,True,3,2595
114,Grade-A-Light,17.589,True,0,120
115,Grade-C-Heavy,45.562,True,13,2655
116,Grade-D-Premium,42.069,True,2,315
117,Grade-A-Light,17.563,True,1,120
118,Grade-C-Heavy,37.645,True,2,240
119,Grade-D-Premium,40.524,True,1,285
